machine_id,timestamp,air_temperature,process_temperature,rotational_speed,torque,tool_wear
M01,1/11/2024 4:00,300.85,308.77,2318,48,64.8
M01,1/11/2024 5:00,296.91,308.4,1996,31.76,63.4
M01,1/11/2024 6:00,296.16,308.27,1461,54.33,62.7
M01,1/11/2024 7:00,299.14,309.64,1371,42.5,59.4
M01,1/11/2024 8:00,295.35,307.65,1633,35.91,62.2
M01,1/11/2024 9:00,296.95,311.66,2779,28.83,60.4
M01,1/11/2024 10:00,299.55,310.47,1282,46.4,69.9
M01,1/11/2024 11:00,295.14,306.07,1458,36.57,62.3
M01,1/11/2024 12:00,298.26,306.79,1955,25.87,68
M01,1/11/2024 13:00,295.8,310.74,1837,23.78,62.9
M01,1/11/2024 14:00,299.74,311.71,2012,52.95,65.4
M01,1/11/2024 15:00,300.81,306.7,1817,49.76,70.2
M01,1/11/2024 16:00,301.89,310.48,1911,38.65,71.5
M01,1/11/2024 17:00,299.53,305.09,2060,48.78,66.7
M01,1/11/2024 18:00,299.45,310.8,1513,35.24,73.8
M01,1/11/2024 19:00,296.89,310.66,2302,47.11,71.8
M01,1/11/2024 20:00,299.15,307.26,1702,49.08,68.8
M01,1/11/2024 21:00,296.71,308.25,1976,31.77,73.7
M01,1/11/2024 22:00,298.41,307.48,1729,31.91,78.3
M01,1/11/2024 23:00,296.93,305.07,1591,23,77.4
M01,1/12/2024 0:00,300.31,309.83,2205,35.69,71.2
M01,1/12/2024 1:00,297.83,306.7,2391,32.92,77.3
M01,1/12/2024 2:00,301.98,308.85,1920,44.6,75.2
M01,1/12/2024 3:00,295.84,306.35,1444,46,82.8
M01,1/12/2024 4:00,296.34,310.17,1766,45.36,83.8
M01,1/12/2024 5:00,296.98,305.7,1597,30.37,78.4
M01,1/12/2024 6:00,299.96,305.89,1293,54.1,81.1
M01,1/12/2024 7:00,295.88,311.08,2205,23.59,76.4
M01,1/12/2024 8:00,298.35,307.38,1305,28.84,85.7
M01,1/12/2024 9:00,295.46,308.44,2381,42.03,78.4
M01,1/12/2024 10:00,298.94,307.13,1708,24.15,86.2
M01,1/12/2024 11:00,300.54,306.58,2270,33.31,88.4
M01,1/12/2024 12:00,299.12,308,2364,41.74,86.2
M01,1/12/2024 13:00,301.63,306.45,1632,29.26,81.7
M01,1/12/2024 14:00,298.86,306.1,2036,35.77,87.6
M01,1/12/2024 15:00,296.62,309.95,2129,22.49,84.7
M01,1/12/2024 16:00,300.54,309.13,1605,34.88,88.6
M01,1/12/2024 17:00,301.36,310.79,1346,22.09,91.8
M01,1/12/2024 18:00,300.77,311.45,2099,24.35,91.6
M01,1/12/2024 19:00,301.6,308.5,2211,35.32,91.4
M01,1/12/2024 20:00,300.14,309.23,1252,23.2,95.8
M01,1/12/2024 21:00,299.03,311.66,1751,40.17,94.6
M01,1/12/2024 22:00,298.63,308.1,1769,26.35,93.6
M01,1/12/2024 23:00,298.44,305.64,1912,34.29,91.7
M01,1/13/2024 0:00,296.13,307.88,2214,30.09,98.7
M01,1/13/2024 1:00,298.85,308.18,1844,28.83,91.2
M01,1/13/2024 2:00,301.05,310.77,1202,43.02,96.2
M01,1/13/2024 3:00,296.31,307.53,2220,41.89,99.1
M01,1/13/2024 4:00,298.84,315.52,2097,50.83,97.1
M01,1/13/2024 5:00,295.1,307.86,1660,54.73,102.2
M01,1/13/2024 6:00,295.82,310.83,2220,52.64,96.7
M01,1/13/2024 7:00,297.91,308.38,2167,28.53,100.1
M01,1/13/2024 8:00,301.45,308.56,1479,50.24,98.1
M01,1/13/2024 9:00,297.9,311.54,2239,29.35,96.1
M01,1/13/2024 10:00,300.86,309.06,2202,50.28,101.3
M01,1/13/2024 11:00,297.33,310.34,1972,35.94,100.8
M01,1/13/2024 12:00,299.88,309,1678,49.96,102.5
M01,1/13/2024 13:00,298.31,311.39,1980,33.51,105.8
M01,1/13/2024 14:00,301.87,308.47,1275,24.42,109.5
M01,1/13/2024 15:00,295.7,310.92,1404,38.41,105.2
M01,1/13/2024 16:00,297.87,309.58,1516,22.62,109.2
M01,1/13/2024 17:00,299.36,307.78,1364,49.81,110.7
M01,1/13/2024 18:00,297.66,307.22,2199,50.53,103.3
M01,1/13/2024 19:00,299.42,311.45,1665,46.14,108
M01,1/13/2024 20:00,305.11,311.11,2991,25.82,107.4
M01,1/13/2024 21:00,296.02,308.72,2359,43.86,107
M01,1/13/2024 22:00,299.27,307.68,1693,37.42,111.8
M01,1/13/2024 23:00,299.47,308.22,1219,51.46,111.4
M01,1/14/2024 0:00,298.83,305.52,1907,54.57,110.5
M01,1/14/2024 1:00,299.83,308.2,1818,26.97,112.1
M01,1/14/2024 2:00,306.05,309,2600,30.36,116
M01,1/14/2024 3:00,301.37,310.22,1786,47.15,112.1
M01,1/14/2024 4:00,296.53,306.33,1713,43.72,117.7
M01,1/14/2024 5:00,300.87,309.4,1280,30.81,115.7
M01,1/14/2024 6:00,300.13,305.63,1804,31.44,116.2
M01,1/14/2024 7:00,300.51,311.14,1949,38.58,121.9
M01,1/14/2024 8:00,296.8,310.77,2186,53.86,116.5
M01,1/14/2024 9:00,300.63,308.28,1354,24.93,124
M01,1/14/2024 10:00,300.07,311.86,2341,69.85,123
M01,1/14/2024 11:00,300.24,306.84,1980,48.78,125.2
M01,1/14/2024 12:00,296.64,305.18,2349,31.48,122.7
M01,1/14/2024 13:00,299.45,308.25,3054,42.72,118.5
M01,1/14/2024 14:00,295.81,306.64,2300,24.75,122.7
M01,1/14/2024 15:00,300.2,311.62,2058,40.56,126.1
M01,1/14/2024 16:00,299.58,310.84,2035,52.87,122.4
M01,1/14/2024 17:00,296.52,308.11,1683,49.94,121.4
M01,1/14/2024 18:00,298.81,311.84,1934,22.12,123.9
M01,1/14/2024 19:00,301.64,310.77,1387,43.2,128.3
M01,1/14/2024 20:00,295.15,310.51,1698,54.61,130.5
M01,1/14/2024 21:00,300.81,308.88,2400,27.56,132.1
M01,1/14/2024 22:00,296.03,311.3,1205,29.7,134
M01,1/14/2024 23:00,298.78,310.59,1425,43.14,225
M01,1/15/2024 0:00,295.11,306.86,1459,45.96,131
M01,1/15/2024 1:00,298.33,310.45,2251,40.78,131
M01,1/15/2024 2:00,299.31,310.09,2267,77.47,236
M01,1/15/2024 3:00,299.99,308.1,1365,31.27,129.5
M01,1/15/2024 4:00,299.37,309.1,1865,33.33,134.7
M01,1/15/2024 5:00,298.54,308.01,1434,49.85,136
M01,1/15/2024 6:00,300.05,306.51,2124,51.08,134.4
M01,1/15/2024 7:00,297.79,310.11,1840,34.94,137.7
M01,1/15/2024 8:00,296.07,311.46,1337,23.19,132.7
M01,1/15/2024 9:00,300.21,307.61,1466,39.47,138.4
M01,1/15/2024 10:00,297.31,305.86,1924,50.58,142.7
M01,1/15/2024 11:00,301.41,305.36,1789,41.01,137.6
M01,1/15/2024 12:00,296.49,309.6,1659,49.65,138.3
M01,1/15/2024 13:00,295.8,306.95,1663,48.25,144.1
M01,1/15/2024 14:00,300.73,309.3,2340,20.92,145.7
M01,1/15/2024 15:00,296.87,306.26,1832,52.25,140.6
M01,1/15/2024 16:00,296,309.6,1342,71.08,144.2
M01,1/15/2024 17:00,297.39,307.59,1864,47.19,144.3
M01,1/15/2024 18:00,295.37,306.1,1301,43.59,142.1
M01,1/15/2024 19:00,298.4,308.09,1759,27.54,145.3
M01,1/15/2024 20:00,295.78,309.75,2196,38.44,144
M01,1/15/2024 21:00,301.89,305.38,1618,30.55,143.8
M01,1/15/2024 22:00,296.79,307.3,1215,37.41,146.7
M01,1/15/2024 23:00,298.73,306.61,2344,49.17,151.3
M01,1/16/2024 0:00,301.03,305.3,1238,36.09,144.7
M01,1/16/2024 1:00,298,307.83,2055,30.13,148.8
M01,1/16/2024 2:00,296.2,311.63,2142,49.12,154.7
M01,1/16/2024 3:00,300.91,306.7,2020,38.34,150.2
M01,1/16/2024 4:00,297.38,307.33,1544,22.67,153.3
M01,1/16/2024 5:00,296.36,310.43,1919,45.46,155.9
M01,1/16/2024 6:00,296.65,306.03,1604,26.07,150
M01,1/16/2024 7:00,295.53,311.66,2211,36.24,154.9
M01,1/16/2024 8:00,299.77,311.17,1861,50.25,156.3
M01,1/16/2024 9:00,295.48,308.1,1820,47.87,156.7
M01,1/16/2024 10:00,295.52,308.23,1277,21.99,159.9
M01,1/16/2024 11:00,301.05,310.99,2238,33.46,158.1
M01,1/16/2024 12:00,300.17,305.29,2370,42.81,156.3
M01,1/16/2024 13:00,296.06,305.43,1411,48.38,162.2
M01,1/16/2024 14:00,295.59,309.52,1280,28.67,159
M01,1/16/2024 15:00,298.66,306.11,1963,52.13,159.2
M01,1/16/2024 16:00,299.75,305.37,1885,22.31,157.1
M01,1/16/2024 17:00,296.99,310.07,1507,31.67,162.7
M01,1/16/2024 18:00,297.45,311.77,2002,24.51,164.7
M01,1/16/2024 19:00,298.91,309.5,1872,48.46,165.1
M01,1/16/2024 20:00,300.17,309.8,2278,23.27,165.9
M01,1/16/2024 21:00,295.13,307.16,1638,31.96,167.6
M01,1/16/2024 22:00,302,306.08,1805,49.55,161.7
M01,1/16/2024 23:00,300.85,311.19,1277,43.17,170.2
M01,1/17/2024 0:00,299.18,306.08,1570,49.1,169.9
M01,1/17/2024 1:00,296.16,308.06,2041,32.75,170.2
M01,1/17/2024 2:00,299.27,310.27,2119,28.19,166.1
M01,1/17/2024 3:00,300.49,311.33,1597,32.87,174
M01,1/17/2024 4:00,298.23,306.97,1982,37.6,169.4
M01,1/17/2024 5:00,296.4,309.23,1712,21.83,170.8
M01,1/17/2024 6:00,301.54,309.98,2256,49.79,169.6
M01,1/17/2024 7:00,296.91,311.34,1501,49.09,168.4
M01,1/17/2024 8:00,300.72,311.19,1254,34.52,172.2
M01,1/17/2024 9:00,297.7,305.57,1659,20.99,178.3
M01,1/17/2024 10:00,299.55,310.54,1481,21.34,179
M01,1/17/2024 11:00,300.82,310.31,2160,35.7,170.6
M01,1/17/2024 12:00,296.79,310.84,2323,52.91,177.4
M01,1/17/2024 13:00,300.43,306.66,1449,21.67,176.3
M01,1/17/2024 14:00,298.2,305.78,2223,40.89,173
M01,1/17/2024 15:00,296.69,306.01,2079,20.05,177.1
M01,1/17/2024 16:00,296.31,309.68,2272,54.11,175
M01,1/17/2024 17:00,298.55,311.92,2566,20.71,227
M01,1/17/2024 18:00,300.52,307.41,1412,47,183.2
M01,1/17/2024 19:00,295.31,308.82,1558,49.06,183.5
M01,1/17/2024 20:00,298.35,306.28,1476,22.21,185.2
M01,1/17/2024 21:00,297.05,305.31,1608,51,181.3
M01,1/17/2024 22:00,297.79,310.71,2169,28.87,186.5
M01,1/17/2024 23:00,297.5,310.47,1879,29.56,187.7
M01,1/18/2024 0:00,297.8,308.08,1991,31.87,182.3
M01,1/18/2024 1:00,297.57,310.58,1746,48.04,188.5
M01,1/18/2024 2:00,299.22,310.76,2317,30.28,183
M01,1/18/2024 3:00,297.07,308.12,2072,25.83,187.2
M01,1/18/2024 4:00,300.09,311.38,2090,29.61,190
M01,1/18/2024 5:00,295.53,309.46,1944,37.96,190
M02,1/1/2024 8:00,296,309.25,2097,21.22,0
M02,1/1/2024 9:00,297.56,307.68,2361,21.13,0
M02,1/1/2024 10:00,297.6,308.11,1357,40.09,1.8
M02,1/1/2024 11:00,299.55,306.75,1432,20.91,0
M02,1/1/2024 12:00,301.39,305.82,1733,44.64,0.2
M02,1/1/2024 13:00,299.86,311.99,1609,24.29,7.3
M02,1/1/2024 14:00,301.29,308.12,1379,48.37,9.2
M02,1/1/2024 15:00,299.67,309.97,2326,38.98,9.2
M02,1/1/2024 16:00,299.98,311.49,1556,47.78,6.2
M02,1/1/2024 17:00,296.41,305.97,2211,20.92,7.4
M02,1/1/2024 18:00,300.63,308.86,1376,22.3,6.6
M02,1/1/2024 19:00,298.35,307.88,2038,48.82,4.1
M02,1/1/2024 20:00,299.5,308.15,2259,32.06,12.9
M02,1/1/2024 21:00,299.48,306.27,1464,35.14,214
M02,1/1/2024 22:00,297.13,306.13,1661,32.11,15
M02,1/1/2024 23:00,300.92,306.75,2328,29.61,12.7
M02,1/2/2024 0:00,295.65,309.49,2389,25.4,13.7
M02,1/2/2024 1:00,299.24,310.9,2354,21.44,16.6
M02,1/2/2024 2:00,301.64,310.4,1742,42.79,16.3
M02,1/2/2024 3:00,299.47,308.49,2317,30.14,19
M02,1/2/2024 4:00,300.63,309.79,1809,35.87,17.1
M02,1/2/2024 5:00,297.91,308.25,1896,41.23,14.1
M02,1/2/2024 6:00,300.14,311.03,2016,24.58,15.4
M02,1/2/2024 7:00,297.23,308.27,1747,66.96,260
M02,1/2/2024 8:00,301.32,310.69,2383,45.24,15.1
M02,1/2/2024 9:00,301.97,308.27,1831,37.41,14.9
M02,1/2/2024 10:00,298.2,306.69,2394,32.35,15.3
M02,1/2/2024 11:00,301.18,309.58,2163,30,15.6
M02,1/2/2024 12:00,295.94,306.85,1949,46.73,19.9
M02,1/2/2024 13:00,298.99,306.36,2333,30.1,20.9
M02,1/2/2024 14:00,298.85,310.78,1443,24.5,18.8
M02,1/2/2024 15:00,301.91,308.9,1948,46.42,20.6
M02,1/2/2024 16:00,298.5,305.32,1480,44.98,27.4
M02,1/2/2024 17:00,296.04,311.25,1486,31.48,26.2
M02,1/2/2024 18:00,301.93,310.18,1812,40.78,25.9
M02,1/2/2024 19:00,298.43,308.94,2172,48.55,25.3
M02,1/2/2024 20:00,301.86,309.09,1254,40.89,25
M02,1/2/2024 21:00,301.8,309.05,1666,45.25,29
M02,1/2/2024 22:00,299.4,313.62,1978,25.17,30.7
M02,1/2/2024 23:00,297.2,306.06,1617,34.36,32.4
M02,1/3/2024 0:00,301.11,310.15,1327,44.7,30.6
M02,1/3/2024 1:00,301.99,308.35,1971,30.98,27.9
M02,1/3/2024 2:00,297.4,307.48,1741,41.35,28.8
M02,1/3/2024 3:00,298.91,306.57,1809,46.99,34.7
M02,1/3/2024 4:00,298.42,308.36,2347,52.68,36.4
M02,1/3/2024 5:00,295.85,309.74,1977,51.35,33.1
M02,1/3/2024 6:00,300.41,306.03,1286,30.07,37.1
M02,1/3/2024 7:00,298.1,306.8,2181,27.49,39
M02,1/3/2024 8:00,298.93,306.9,1423,41.55,37.3
M02,1/3/2024 9:00,299.69,308.72,1676,21.84,36.4
M02,1/3/2024 10:00,295.7,310.4,1210,53.76,42.8
M02,1/3/2024 11:00,299.57,311.16,2174,36.71,35.8
M02,1/3/2024 12:00,297.25,309.52,1383,42.83,36.8
M02,1/3/2024 13:00,300.95,305.26,1558,34.63,43.7
M02,1/3/2024 14:00,295.25,310.85,2214,26.52,43.5
M02,1/3/2024 15:00,297.03,305.26,1811,39.88,37.9
M02,1/3/2024 16:00,296.99,311.92,2312,38.35,46.5
M02,1/3/2024 17:00,298.53,306.91,1430,31.57,45.6
M02,1/3/2024 18:00,300.03,305.1,1890,47.68,44.8
M02,1/3/2024 19:00,296.23,310.99,2030,48.94,45
M02,1/3/2024 20:00,299.68,318.4,1487,83.9,50
M02,1/3/2024 21:00,297.11,310.06,1223,29.15,45
M02,1/3/2024 22:00,299.67,308.26,1527,34.19,47.1
M02,1/3/2024 23:00,299.92,307.18,1440,42.35,52.3
M02,1/4/2024 0:00,296.55,311.7,2179,25.36,51.1
M02,1/4/2024 1:00,297.91,308.84,2164,46.51,52.4
M02,1/4/2024 2:00,300.33,309.76,1367,38.39,50.4
M02,1/4/2024 3:00,301.42,305.79,2321,51.6,47.9
M02,1/4/2024 4:00,296.15,310.98,2104,24.07,48.7
M02,1/4/2024 5:00,295.64,308.57,1313,35.87,52.6
M02,1/4/2024 6:00,295.4,308.24,1831,45.31,52.2
M02,1/4/2024 7:00,300.22,309.05,1292,34.83,56
M02,1/4/2024 8:00,295.42,311.26,2166,21.11,53.8
M02,1/4/2024 9:00,300.36,311.85,2060,33.11,59.4
M02,1/4/2024 10:00,301.42,307.64,1364,43.9,57.9
M02,1/4/2024 11:00,299.57,307.43,1565,54.75,55.9
M02,1/4/2024 12:00,301.85,310.84,1246,54.25,57.4
M02,1/4/2024 13:00,297.97,307.65,1670,28.66,57
M02,1/4/2024 14:00,301.56,310.08,1431,21.13,60.9
M02,1/4/2024 15:00,301.55,318.31,1692,27.21,56
M02,1/4/2024 16:00,297.82,306.64,1644,46.4,63.6
M02,1/4/2024 17:00,301.95,306.64,2379,31.16,62.5
M02,1/4/2024 18:00,297.24,307.11,1493,54.5,62.5
M02,1/4/2024 19:00,296.93,308.9,1558,41.91,62.4
M02,1/4/2024 20:00,301.81,311.59,1980,47.5,62
M02,1/4/2024 21:00,296.04,307.64,2301,36.57,68.1
M02,1/4/2024 22:00,299.95,310.64,1318,39.68,70
M02,1/4/2024 23:00,295.94,306.7,1616,31.56,61.9
M02,1/5/2024 0:00,297.6,308.75,1590,21.8,65.7
M02,1/5/2024 1:00,295.28,305.51,2344,27.6,64.7
M02,1/5/2024 2:00,297.12,311.36,1633,52.8,73
M02,1/5/2024 3:00,302,308.35,1696,44.35,71.2
M02,1/5/2024 4:00,296.68,307.25,1779,33.32,70.3
M02,1/5/2024 5:00,296.83,308.59,2218,36.31,73.7
M02,1/5/2024 6:00,300.33,307.24,1616,32.97,70.6
M02,1/5/2024 7:00,296.55,306.02,1734,39.37,73
M02,1/5/2024 8:00,297.07,306.37,1671,33.29,76.3
M02,1/5/2024 9:00,299.58,309.79,1727,46.72,73.6
M02,1/5/2024 10:00,300.18,308.23,1921,25.92,76.7
M02,1/5/2024 11:00,301.42,308.79,1320,38.34,78.6
M02,1/5/2024 12:00,300.73,305.34,1213,34.43,79.4
M02,1/5/2024 13:00,299.95,305.06,2235,35.96,72.4
M02,1/5/2024 14:00,301.54,311.39,2199,20.55,77.8
M02,1/5/2024 15:00,295.12,310.06,2297,54.21,73.5
M02,1/5/2024 16:00,299.72,310.64,1567,23.75,75
M02,1/5/2024 17:00,296.34,308.69,1925,29.36,78.8
M02,1/5/2024 18:00,297.84,308.96,1662,30.5,83.8
M02,1/5/2024 19:00,301.94,309.55,1264,23.27,80.1
M02,1/5/2024 20:00,295.39,305.07,1550,22.89,85.5
M02,1/5/2024 21:00,297.32,311.84,1395,51.32,87
M02,1/5/2024 22:00,301.31,309.85,2360,36.64,79.1
M02,1/5/2024 23:00,301.48,311.3,2354,43.03,81.2
M02,1/6/2024 0:00,295.11,306.45,1495,46.33,87.2
M02,1/6/2024 1:00,295.54,306.14,1692,39.83,89.4
M02,1/6/2024 2:00,298.78,307.69,1486,47.67,88.5
M02,1/6/2024 3:00,300.22,307.42,1400,35.3,90.8
M02,1/6/2024 4:00,300.38,311.68,2012,53.91,86.4
M02,1/6/2024 5:00,300.48,308.15,1667,32.45,93.3
M02,1/6/2024 6:00,299.76,309.62,1375,47.03,87.6
M02,1/6/2024 7:00,295.51,306.88,1978,44.91,91.8
M02,1/6/2024 8:00,297.22,305.75,1210,53,90.6
M02,1/6/2024 9:00,295.72,305.61,2082,35.71,92.5
M02,1/6/2024 10:00,295.18,307.48,1390,40.89,95.6
M02,1/6/2024 11:00,295.09,307.9,1373,45.37,94.1
M02,1/6/2024 12:00,296.7,308.65,1979,25.93,91.9
M02,1/6/2024 13:00,296.02,306.17,1765,34.74,94.8
M02,1/6/2024 14:00,296.76,306.73,2215,40.78,92.7
M02,1/6/2024 15:00,297.13,311.64,1880,49.46,95.3
M02,1/6/2024 16:00,298.08,308.01,1478,30.52,98.3
M02,1/6/2024 17:00,298.35,306.24,2015,53.91,96
M02,1/6/2024 18:00,298.44,309.03,1696,31.41,96.6
M02,1/6/2024 19:00,297.56,311.52,1609,40.73,100
M02,1/6/2024 20:00,298.85,311.67,2145,53,97.4
M02,1/6/2024 21:00,300.82,305.48,2037,43.55,97.5
M02,1/6/2024 22:00,296.77,306.08,2066,47.62,97.6
M02,1/6/2024 23:00,298.35,307.81,2237,52.32,106.3
M02,1/7/2024 0:00,295.26,311.78,2299,40.78,107.5
M02,1/7/2024 1:00,296.74,309.65,1540,42.64,99.6
M02,1/7/2024 2:00,299.74,316.4,1879,53.8,230
M02,1/7/2024 3:00,298.24,309.76,2224,25.28,110.6
M02,1/7/2024 4:00,297.07,311.44,1375,24.06,110.8
M02,1/7/2024 5:00,297.18,308.19,1623,38.24,105.6
M02,1/7/2024 6:00,300.05,308.17,1337,30.51,111
M02,1/7/2024 7:00,300.94,309.54,1536,52.55,111.1
M02,1/7/2024 8:00,298.86,307.32,2073,53.55,106.8
M02,1/7/2024 9:00,296.29,309.48,2085,33.85,112.6
M02,1/7/2024 10:00,298.15,308.01,1209,44.67,108
M02,1/7/2024 11:00,300.66,305.44,1408,47.98,112.1
M02,1/7/2024 12:00,296.38,305.8,2202,38.47,113.9
M02,1/7/2024 13:00,299.28,309.11,1912,32.32,112.8
M02,1/7/2024 14:00,299.72,310.6,1373,43.52,112.1
M02,1/7/2024 15:00,295.82,307.61,1489,37.88,113.9
M02,1/7/2024 16:00,297.69,306.3,2300,44.27,117
M02,1/7/2024 17:00,298.88,308.43,1487,26.55,119.7
M02,1/7/2024 18:00,301.06,311.66,2192,24.78,120.2
M02,1/7/2024 19:00,298.54,308.46,2207,34.55,121.2
M02,1/7/2024 20:00,295.58,305.22,1651,30.22,116.3
M02,1/7/2024 21:00,296.18,308.2,2214,39.24,115.5
M02,1/7/2024 22:00,300.43,310.76,1951,38.97,122.6
M02,1/7/2024 23:00,298.09,306.53,2070,23.58,124.1
M02,1/8/2024 0:00,297.08,312,2121,29.2,125.2
M02,1/8/2024 1:00,301.06,305.82,1685,27.35,124.7
M02,1/8/2024 2:00,301.03,309.27,2076,25.81,119.5
M02,1/8/2024 3:00,296.45,305.42,1918,38.63,124.8
M02,1/8/2024 4:00,301.85,307.05,2372,29.36,128.2
M02,1/8/2024 5:00,299.76,305.67,2042,52.16,130.3
M02,1/8/2024 6:00,295.89,311.06,1711,25.12,124.4
M02,1/8/2024 7:00,300.9,307.75,1491,40.21,124.6
M02,1/8/2024 8:00,298.16,309.44,1390,34.1,130.2
M02,1/8/2024 9:00,301.14,308.18,2199,31.46,123.5
M02,1/8/2024 10:00,300.13,310.12,2138,42.22,131.2
M02,1/8/2024 11:00,300.57,307.78,2079,48.87,129.9
M02,1/8/2024 12:00,296.99,308.83,1467,39.81,130.6
M02,1/8/2024 13:00,299.78,305.34,1403,71.96,134.8
M02,1/8/2024 14:00,301.94,307.99,1470,50.88,130.3
M02,1/8/2024 15:00,301.14,305.65,1938,28.76,131.7
